title,link,channel name,date_added_to_playlist
Imagine Dragons - Radioactive,https://www.youtube.com/watch?v=Thbsg9i2mZ0,removed?,None
Tanel Padar & The Sun - ̥nne valem,https://www.youtube.com/watch?v=qQGTge3KRC0,removed?,None
Tove Lo - True Disaster,https://www.youtube.com/watch?v=EFwIsrzDqMI,removed?,None
Deleted video,https://www.youtube.com/watch?v=zDaUMqy1UMk,removed?,None
Nightcore - Turn Me On (Alex Megane - turn me on (remix)),https://www.youtube.com/watch?v=exDMA5YRH6A,removed?,None
Private video,https://www.youtube.com/watch?v=IJ2ROEs7_0Y,removed?,None
Private video,https://www.youtube.com/watch?v=JrD0woKEqVU,removed?,None
Trance - Military Storm,https://www.youtube.com/watch?v=cBQo-2SFHas,removed?,None
Deleted video,https://www.youtube.com/watch?v=9pqa1Y0pSMg,removed?,None
hanz zimmer S.T.A.Y (the r3belz bootleg),https://www.youtube.com/watch?v=QDGG8QoudpM,removed?,None
Deleted video,https://www.youtube.com/watch?v=uMKAJh9KZZ8,removed?,None
Private video,https://www.youtube.com/watch?v=2Rdu8Rn7UHY,removed?,None
Nero - Must Be The Feeling (Flux Pavilion and Nero remix),https://www.youtube.com/watch?v=P60i5TdZNpo,removed?,None
Deleted video,https://www.youtube.com/watch?v=nxtHFthK3Ec,shouldremove,None
DJ Whore - S3RL feat Tamika,https://www.youtube.com/watch?v=6uRtYNmDgX0,removed?,None
Private video,https://www.youtube.com/watch?v=y9y4Hay38UE,removed?,None
Mr. Happyman - Las Mina Proovin Siis Ka,https://www.youtube.com/watch?v=zMMERHNI4M8,removed?,None
Dash Berlin feat Emma Hewitt - Waiting,https://www.youtube.com/watch?v=MSgnf-tBN9s,removed?,None
S3RL - Hentai,https://www.youtube.com/watch?v=1ER67r8OCW8,shouldremove,None
Aftergeneration - Calling (Hardstyle),https://www.youtube.com/watch?v=-QN7sw2G0Us,removed?,None
Dune - Hardcore Vibes,https://www.youtube.com/watch?v=oAlRtCyr0sQ,removed?,None
The Prophet - Wanna Play?,https://www.youtube.com/watch?v=s8P2AFGvc7g,shouldremove?,None
Deleted video,https://www.youtube.com/watch?v=BGP5bGIPErQ,removed?,None
Deleted video,https://www.youtube.com/watch?v=uD1d7CKfRuE,removed?,None
Fragma - Everitime you need me,https://www.youtube.com/watch?v=4XdkNzxfZ-M,removed?,None
MYST - Dreamteam,https://www.youtube.com/watch?v=FM7sZA2f13g,removed?,None
Private video,https://www.youtube.com/watch?v=9qWzam89PeI,removed?,None
Dash Berlin - Till The Sky Falls Down,https://www.youtube.com/watch?v=n4KrOOm8Nj8,removed?,None
Deleted video,https://www.youtube.com/watch?v=ypTYsCr495g,removed?,None
Dash Berlin with Cerf Mitiska & Jaren - Man On The Run,https://www.youtube.com/watch?v=gOTyD6ZYcP0,removed?,None
Siria - I Will Believe It,https://www.youtube.com/watch?v=8QvvY5zfeII,removed?,None
Deleted video,https://www.youtube.com/watch?v=ql-d7NJ9_1o,removed?,None
Private video,https://www.youtube.com/watch?v=X7ZsUcjdlNA,removed?,None
Private video,https://www.youtube.com/watch?v=QKXiD6yPqSE,removed?,None
TomBBa - Resurrection [Free Release],https://www.youtube.com/watch?v=VAIZgjYWiLE,removed?,None
Rawphoricz & Mandy Jones - Back To You (Original Mix),https://www.youtube.com/watch?v=fTVtB-6bb7o,removed?,None
Deleted video,https://www.youtube.com/watch?v=pg632qMvnsc,removed?,2021-07-11 18:32:36
Private video,https://www.youtube.com/watch?v=yHeQOSKrgDQ,removed?,2022-10-11 19:44:55
